Question,Answer,Category,keywords,lastupdated
What is the main contact phone number for Yabatech?,The main contact phone number is +234-7037431055.,Contact,"main, contact, phone, number, yabatech, 234, 7037431055",2026-06-16
What are the main email addresses for Yabatech?,The main email addresses are registrar@yabatech.edu.ng and records@yabatech.edu.ng.,Contact,"main, email, addresses, yabatech, registrar, edu, records, contact",2026-06-16
What is the official website URL for Yabatech?,The official website is https://www.yabatech.edu.ng/,General,"official, website, url, yabatech, https, www, edu, general",2026-06-16
Who is the current Rector of Yabatech?,The current Rector is Dr. Engr. Ibraheem Adedotun Abdul.,Administration,"current, rector, yabatech, engr, ibraheem, adedotun, abdul, administration",2026-06-16
Who is the current Registrar of Yabatech?,The current Registrar is Mrs. Henrietta Badejo.,Administration,"current, registrar, yabatech, mrs, henrietta, badejo, administration",2026-06-16
What is the vision of Yaba College of Technology?,"The vision is to be the leading higher educational institution in Africa by providing first-rate academic, professional and entrepreneurial education.",About,"vision, yaba, college, technology, leading, higher, educational, institution, africa, providing",2026-06-16
What is the mission of Yaba College of Technology?,"The mission is to produce knowledgeable and innovative graduates, worthy in skill and character, through effective teaching, learning and research for the technological advancement of Africa.",About,"mission, yaba, college, technology, produce, knowledgeable, innovative, graduates, worthy, skill",2026-06-16
When was Yabatech originally founded?,The institution started as Yaba Technical Institute in October 1947.,History,"was, yabatech, originally, founded, institution, started, yaba, technical, institute, october",2026-06-16
What was Yabatech's original name?,Its original name was Yaba Technical Institute.,History,"was, yabatech, original, name, its, yaba, technical, institute, history",2026-06-16
When was the name changed to Yaba College of Technology?,"On September 23, 1963, it was renamed Yaba College of Technology.",History,"was, name, changed, yaba, college, technology, september, 1963, renamed, history",2026-06-16
Who renamed the institution to Yaba College of Technology?,"Rt. Hon. Dr. Nnamdi Azikiwe, the then Governor-General of the Federal Republic of Nigeria, renamed it.",History,"renamed, institution, yaba, college, technology, hon, nnamdi, azikiwe, then, governor",2026-06-16
How many schools does Yabatech have?,Yabatech has eight schools.,Academics,"many, schools, yabatech, have, has, eight, academics",2026-06-16
Can you name the schools at Yabatech?,"The eight schools are: School of Art, Design & Printing, School of Engineering, School of Environment Studies, School of Liberal Studies, School of Management & Business Studies, School of Science, School of Technical Education, and School of Technology.",Academics,"name, schools, yabatech, eight, school, art, design, printing, engineering, environment",2026-06-16
Where is the second campus of Yabatech located?,The second campus is located at Epe.,General,"second, campus, yabatech, located, epe, general",2026-06-16
What schools and departments are at the Epe campus?,"The Epe campus is home to the Michael Otedola Information and Communication Centre, School of Technical Education, and the Departments of Agricultural Technology, Agric & Bio Engineering, and Leisure & Tourism.",Academics,"schools, departments, epe, campus, home, michael, otedola, information, communication, centre",2026-06-16
Does Yabatech have an e-Journal?,"Yes, an e-Journal is available on the website.",Academics,"yabatech, have, journal, yes, available, website, academics",2026-06-16
What is CODFEL?,"CODFEL stands for the Centre for Open, Distance and Flexible e-Learning.",Academics,"codfel, stands, centre, open, distance, flexible, learning, academics",2026-06-16
Can I apply for Post UTME for the 2024/25 session?,"No, the Post UTME application for the 2024/25 session is now closed.",Admissions,"apply, post, utme, 2024, session, application, now, closed, admissions",2026-06-16
Who is the Deputy Rector Academics?,The website lists a Deputy Rector for Academics in the administration section.,Administration,"deputy, rector, academics, website, lists, administration, section",2026-06-16
Who is the Deputy Rector Administration?,The website lists a Deputy Rector for Administration in the administration section.,Administration,"deputy, rector, administration, website, lists, section",2026-06-16
How can I access the student portal?,Students can access their portal via the 'Student Portal' link on the official website.,Students,"access, student, portal, students, their, via, link, official, website",2026-06-16
Does Yabatech offer student loans?,"Yes, information on 'Student Loans & Financial Assistance' is available on the website.",Students,"yabatech, offer, student, loans, yes, information, financial, assistance, available, website",2026-06-16
How do I apply for a transcript as an alumnus?,Alumni can find 'Transcript Application Guidelines' under the Alumni section of the website.,Alumni,"apply, transcript, alumnus, alumni, find, application, guidelines, under, section, website",2026-06-16
How can I access my staff portal?,Staff can access their portal via the 'Staff Portal' link on the official website.,Staff,"access, staff, portal, their, via, link, official, website",2026-06-16
What is the latest news about printing examination dockets for full-time students?,"An announcement was made on August 16, 2025, that full-time students can now print their dockets for the 2024/2025 first semester examinations via their student portals.",News,"latest, news, about, printing, examination, dockets, full, time, students, announcement",2026-06-16
Are there any current staff vacancies at Yabatech?,"Yes, as of August 16, 2025, Yabatech announced openings for academic and non-teaching staff positions, open to both internal and external applicants.",Careers,"there, any, current, staff, vacancies, yabatech, yes, august, 2025, announced",2026-06-16
Is Yabatech accepting applications for Part-Time National Diploma for 2025/2026?,"Yes, as of August 8, 2025, suitably qualified candidates are invited to apply for admission into the Part-Time Programme for National Diploma for the 2025/2026 academic session.",Admissions,"yabatech, accepting, applications, part, time, national, diploma, 2025, 2026, yes",2026-06-16
What is the latest information on the HND Part-Time admission for 2025/2026?,"Applications are invited from suitably qualified candidates for admission into Part-Time Programmes at the Higher National Diploma (HND) level for the 2025/2026 session, as announced on June 20, 2025.",Admissions,"latest, information, hnd, part, time, admission, 2025, 2026, applications, invited",2026-06-16
